# csv2chart.title=Multiple Eval vs. Single Compile + Multiple Eval
n, Multi Eval, Compile Multi Eval
518, 3.4295744, 2.8719047
519, 3.1285371, 2.8261168999999997
520, 2.9635196, 2.8155688000000003
521, 3.3945718, 2.9118059
522, 3.1461171, 2.7437069999999997
523, 3.1362802, 3.2142656
524, 3.3841029, 2.916507
525, 3.1683987, 3.3012189
526, 3.2631742000000004, 2.9244086
527, 3.0984727, 2.7890997
528, 3.0807346, 2.6636674
529, 3.1290505, 2.7612083
530, 3.0623643, 2.8669268
531, 3.2301469, 3.1329222000000003
532, 3.3098707, 3.0481418000000002
533, 3.0234110999999997, 2.8802799
534, 3.3434903, 3.3287545
535, 3.1673716, 2.8739985
536, 3.0743346, 3.4894658
537, 3.3523794000000002, 2.8329119
538, 3.4801423999999996, 3.0208825999999998
539, 3.1209519, 3.004685
540, 3.6108685, 3.6055352
541, 3.2681914999999995, 2.9974554
542, 3.2230359, 4.4023756
543, 3.6424341, 2.8637268
544, 3.2012679, 2.9431345
545, 3.2465818, 2.9137021
546, 3.4849620999999997, 3.0207639
547, 4.0056542, 3.4533175999999997
548, 3.3997078000000003, 2.9118454
549, 3.4443497, 3.0116381
550, 3.5131697, 2.7907589
551, 3.1836482, 3.0144431000000003
552, 3.1122999, 2.9258306999999997
553, 3.2470953000000002, 2.9361418
554, 3.5951845, 3.2943051
555, 3.6083005, 3.3709077
556, 3.6090511999999997, 3.2954509
557, 3.3014161, 3.3630854999999995
558, 4.3568248, 2.9909765
559, 3.2379693000000005, 2.9423444
560, 3.2469768, 2.9290305
561, 3.347836, 2.96589
562, 3.2252878000000003, 3.1420482
563, 4.1178517, 3.2821767
564, 3.515619, 3.0019985
565, 3.4722412, 3.0084778
566, 3.3920041, 3.0607838000000003
567, 4.3823855, 9.704861099999999
568, 3.883501, 3.3616632
569, 3.811007, 3.1674507
570, 3.6666513000000003, 2.9344825
571, 3.3771892, 3.197673
572, 3.5579698, 3.0263738
573, 4.450889200000001, 3.4064634
574, 3.3061966, 2.9357467
575, 3.3554608000000004, 2.9905418
576, 3.5648831999999997, 3.2960039
577, 3.6779499, 3.4944040999999997
578, 3.5590364, 3.2563791
579, 3.6732881999999996, 3.1680038
580, 3.6082611, 3.2046655
581, 3.2958458999999998, 3.0130602
582, 3.3323102, 3.0227395
583, 3.3359448, 3.0457714
584, 4.0939898999999995, 3.5993326000000003
585, 3.4821966000000004, 3.0009319000000003
586, 3.4598756, 3.1715989
587, 3.4000238000000005, 3.2593027
588, 3.4829078000000004, 3.2318852999999996
589, 3.3142161999999997, 3.0573861
590, 3.5644487, 3.2372977
591, 3.3583447, 5.2492704
592, 3.6442118, 3.2636087000000003
593, 3.4598756, 3.3804285999999997
594, 3.5580881, 3.1282606
595, 3.3861967, 3.0641418000000002
596, 3.4233324000000005, 3.1448925
597, 3.37312, 3.0613765
598, 3.4358559, 3.2147396
599, 3.3762016000000004, 3.1535444999999998
600, 3.4978807000000005, 3.166937
601, 3.3969423, 3.1940779
602, 3.4051595, 3.2283296999999997
603, 3.4085966, 3.1527939
604, 3.7280437999999996, 4.0672444
605, 3.6719056, 3.5646066
606, 3.9223355, 3.5712043
607, 4.5300992, 3.1875197
608, 5.245635999999999, 4.2547409
609, 3.8842514, 3.4890312000000003
610, 4.0457135, 3.9907604
611, 3.7968637000000003, 3.4907695
612, 5.4154731, 3.8891502000000004
613, 4.6612993000000005, 3.7102662000000004
614, 3.8596392, 3.5108387999999997
615, 3.7251994, 3.4197375
616, 3.6965969999999997, 4.1981678
617, 4.1907803, 3.706355
618, 3.9655158999999998, 3.3620583
619, 3.6357179000000004, 3.5709671
620, 3.7861971, 4.4221287
621, 5.0740209, 5.8264166
622, 4.7486872, 4.3498323999999995
623, 6.1328666, 3.9347404
624, 4.7465933, 3.7466907999999997
625, 3.5924585999999996, 3.3052878
626, 3.5875203, 3.1863741
627, 3.6449228, 3.3266213000000002
628, 3.5284979, 3.2275002
629, 3.4723202, 3.22351
630, 3.5214659, 3.2966755999999995
631, 3.6605277999999997, 3.3139396
632, 3.5135647, 3.2872729
633, 3.8038168, 3.6276586
634, 3.7366957999999997, 3.8320638000000002
635, 4.5065535, 4.2080446
636, 4.5296647, 4.0094862
637, 3.807886, 3.7451897
638, 17.4849393, 4.7797784
639, 4.611481899999999, 3.4996189
640, 3.7805475, 3.3045372
641, 3.6419995999999997, 3.2437370999999997
642, 4.141753, 3.6089722
643, 3.9151849, 3.3526558
644, 3.6717082, 3.8380293
645, 3.6698907, 3.4270857
646, 3.7433328, 3.293989
647, 3.678029, 3.3274507
648, 4.2082814, 3.6052191999999996
649, 3.7304144999999997, 3.3912139000000003
650, 3.6679946, 3.2998756
651, 3.8785625, 3.3854855
652, 3.7124785000000005, 3.4097026999999995
653, 3.5893772, 3.3843793
654, 3.7772292999999997, 3.3612682
655, 3.7332982, 3.3573967000000002
656, 3.6490316, 3.3901868
657, 3.770513, 3.3558557999999996
658, 3.7991549, 3.5695056000000003
659, 3.8816442, 3.3836286
660, 3.7108587, 3.3751744
661, 3.8834220000000004, 3.8569132
662, 3.9147896, 3.4974856
663, 3.8076096, 3.4294164
664, 3.7816145, 3.2802013000000003
665, 3.8541479, 3.5226511
666, 3.8329329000000003, 3.3894755000000005
667, 3.7744242999999997, 3.3372484
668, 4.0859308, 3.7184833
669, 3.8402021, 3.4888733000000003
670, 3.8084786, 3.5808834
671, 3.8203699999999996, 3.5690314
672, 5.211463, 3.6210611
673, 3.9374270000000005, 3.4798263
674, 3.6608044, 3.7024438
675, 4.3712446, 3.4968139000000003
676, 3.9071651000000003, 3.7599255
677, 4.0135157999999995, 3.4482608999999997
678, 4.4685485, 3.7319550999999995
679, 4.201684, 3.5288139999999997
680, 3.9959751, 3.5656734
681, 3.7190365, 3.5382559000000002
682, 4.6291018, 4.9457047
683, 4.2547804, 3.6785030999999995
684, 4.0272245, 3.7733575000000004
685, 3.9058615000000003, 3.500409
686, 4.2095456, 3.429535
687, 3.9075602000000003, 3.6327154
688, 4.4523114, 3.6171895
689, 3.9498713000000003, 3.8147205
690, 3.9566664000000005, 3.6302265
691, 4.228903900000001, 3.9877181999999998
692, 4.2253483, 3.9012786
693, 4.4299509, 3.7934663
694, 4.2981977, 5.1008456
695, 4.786139, 3.9640937000000003
696, 3.8826319, 3.6303845000000003
697, 4.2447852, 3.9864936999999996
698, 4.9105836, 4.2306814
699, 4.1963507, 3.4981966
700, 3.9465528, 3.5672930999999997
701, 4.0335849, 3.7565280000000003
702, 4.0476889, 4.1001136
703, 4.306573, 4.1457036
704, 4.3708496, 3.9237577999999997
705, 4.0665727, 3.5945523
706, 5.5193744, 5.5096954
707, 4.9722528, 4.5091214
708, 4.8960848, 3.9111947000000002
709, 4.5784548, 3.6470165000000003
710, 4.2260593, 3.9213084
711, 3.9947505, 3.6188092
712, 3.9780788, 3.6084585
713, 3.9832145, 3.7155206
714, 4.0127257, 3.5614858
715, 4.0952938, 3.6540883
716, 3.9448936000000003, 3.7160339000000002
717, 4.1051307999999995, 3.5919055999999996
718, 3.9868888, 3.7346809999999997
719, 4.2138126, 3.7805872000000003
720, 4.435560799999999, 3.8047651
721, 4.185802499999999, 3.9776046999999997
722, 4.2633534, 3.8080044
723, 5.1410628, 3.8801428000000002
724, 4.1409236, 3.623234
725, 4.0122516, 3.6500586
726, 4.364331, 3.8967748999999996
727, 4.2099012, 3.8445479
728, 4.2855557, 3.7195895
729, 3.9086664, 3.7829181
730, 4.1201826, 3.7146120000000002
731, 4.163837, 3.9698220999999996
732, 4.1908988, 4.0267505
733, 4.322415, 3.8244786
734, 4.6093091, 3.8652490999999998
735, 4.231116, 3.8736243999999997
736, 4.4142671, 3.8083997
737, 4.2837385, 3.8701081000000004
738, 4.2435607, 3.7470464
739, 4.239847, 3.5710067000000003
740, 4.1551852, 3.6768042999999997
741, 4.339165599999999, 3.9378219999999997
742, 4.2217137000000005, 3.5884289000000003
743, 4.178217500000001, 3.8471552000000004
744, 4.1469678000000005, 3.7353131
745, 5.1794234, 3.7916885000000002
746, 4.3194522, 4.0055752
747, 4.165654399999999, 3.8474713
748, 4.2793136, 3.7873821
749, 4.2594815, 3.8033428000000002
750, 4.1248048, 3.6043104999999995
751, 4.1675112, 3.7890021
752, 4.1738322, 3.8844885
753, 4.175451799999999, 3.8003009
754, 4.2419801999999995, 3.7239354
755, 4.2287458, 3.7943748999999998
756, 4.2916, 3.8201329
757, 4.2535162, 3.7986812
758, 4.2820398, 4.079807199999999
759, 4.6117982, 4.3608941
760, 4.9166676, 3.8031846000000002
761, 4.274573, 3.9023454
762, 4.3048741, 3.8286662999999996
763, 4.2449433, 3.8190663000000002
764, 4.2507112, 3.9397182
765, 4.3156199, 3.8543847999999996
766, 4.2938914, 3.8642221
767, 4.291797600000001, 3.9082713
768, 4.7106821, 3.9901283
769, 4.1461779, 3.7547501
770, 4.230207399999999, 4.1207359
771, 4.4631362, 3.7579895999999997
772, 4.3725485, 3.8964984
773, 4.2197384, 3.8603107000000003
774, 4.3582471, 3.7201822
775, 4.3248249, 3.9303554
776, 4.225032199999999, 3.9079946999999997
777, 4.3473039, 3.8394514
778, 4.3003704, 3.8539897000000005
779, 4.3319358999999995, 3.9244689
780, 4.4250522, 3.9648836000000003
781, 4.5046177, 3.9971997999999997
782, 4.3294472, 3.9462367
783, 4.667897, 3.9522416
784, 4.334583, 4.0027703
785, 4.2846471, 3.8429279999999997
786, 4.553803, 3.8669477999999997
787, 4.3313434, 4.1229481
